学号,专业,生源所在地,性别,学位性质,民族,政治面貌,出入日期,年级,分数1,分数2,分数3
941,法学,浙江省,男,本科,汉族,共青团员,19890810 ,2007,69,79,75
942,法学,安徽省,女,本科,汉族,共青团员,19891227 ,2007,51,57,66
943,法学,北京市,女,本科,汉族,共青团员,19890903 ,2007,56,67,73
944,法学,福建省,女,本科,汉族,共青团员,19880506 ,2007,69,56,91
945,法学,广东省,女,本科,汉族,共青团员,19880913 ,2007,80,83,68
946,法学,广东省,女,本科,汉族,共青团员,19881202 ,2007,93,62,89
947,法学,贵州省,女,本科,汉族,共青团员,19870827 ,2007,59,62,92
948,法学,河北省,女,本科,汉族,共青团员,19871010 ,2007,96,88,78
949,法学,河南省,女,本科,汉族,共青团员,19891010 ,2007,94,80,94
950,法学,黑龙江省,女,本科,汉族,共青团员,19880625 ,2007,77,72,72
951,法学,湖北省,女,本科,汉族,共青团员,19890626 ,2007,83,64,79
952,法学,湖南省,女,本科,汉族,共青团员,19890212 ,2007,76,88,93
953,法学,吉林省,女,本科,汉族,共青团员,19871209 ,2007,90,94,80
954,法学,江苏省,女,本科,汉族,共青团员,19900520 ,2007,69,84,68
955,法学,江西省,女,本科,汉族,共青团员,19881219 ,2007,79,64,82
956,法学,内蒙古自治区,女,本科,汉族,共青团员,19890508 ,2007,52,68,82
957,法学,宁夏回族自治区,女,本科,汉族,共青团员,19900328 ,2007,54,85,88
958,法学,山东省,女,本科,汉族,共青团员,19881229 ,2007,93,71,90
959,法学,山西省,女,本科,汉族,共青团员,19881113 ,2007,87,92,90
960,法学,上海市,女,本科,汉族,共青团员,19890725 ,2007,81,57,86
961,法学,四川省,女,本科,汉族,共青团员,19881227 ,2007,73,89,88
962,法学,西藏自治区,女,本科,藏族,共青团员,19880803 ,2007,63,59,72
963,法学,新疆维吾尔自治区,女,本科,汉族,共青团员,19880928 ,2007,86,76,86
964,法学,云南省,女,本科,汉族,共青团员,19890619 ,2007,77,73,74
965,法学,重庆市,女,本科,汉族,共青团员,19890711 ,2007,54,80,72
966,法学,北京市,男,本科,汉族,共青团员,19890722 ,2007,77,71,91
967,法学,福建省,男,本科,汉族,共青团员,19880222 ,2007,86,83,81
968,法学,广东省,男,本科,汉族,共青团员,19881218 ,2007,78,70,94
969,法学,贵州省,男,本科,汉族,共青团员,19891206 ,2007,92,83,82
970,法学,河南省,男,本科,汉族,共青团员,19880506 ,2007,93,94,86
971,法学,湖北省,男,本科,汉族,共青团员,19880712 ,2007,78,85,93
972,法学,吉林省,男,本科,汉族,共青团员,19871223 ,2007,95,61,79
973,法学,江西省,男,本科,汉族,共青团员,19880215 ,2007,94,65,75
974,法学,内蒙古自治区,男,本科,蒙古族,共青团员,19880315 ,2007,51,63,87
975,法学,山东省,男,本科,汉族,共青团员,19900221 ,2007,95,81,68
976,法学,山西省,男,本科,汉族,共青团员,19890513 ,2007,92,56,76
977,法学,四川省,男,本科,汉族,中共预备党员,19880702 ,2007,77,90,72
978,法学,新疆维吾尔自治区,男,本科,维吾尔族,共青团员,19850203 ,2007,84,89,71
979,法学,浙江省,男,本科,汉族,共青团员,19881031 ,2007,79,78,66
980,法学,安徽省,女,本科,汉族,共青团员,19890501 ,2007,78,82,89
981,法学,北京市,女,本科,满族,共青团员,19890121 ,2007,93,78,75
982,法学,北京市,女,本科,汉族,共青团员,19890110 ,2007,89,76,93
983,法学,福建省,女,本科,汉族,共青团员,19891105 ,2007,96,94,77
984,法学,广东省,女,本科,汉族,共青团员,19880701 ,2007,74,93,76
985,法学,广西壮族自治区,女,本科,汉族,共青团员,19890727 ,2007,64,61,78
986,法学,贵州省,女,本科,汉族,共青团员,19881219 ,2007,79,81,71
987,法学,河北省,女,本科,汉族,共青团员,19870702 ,2007,69,75,73
988,法学,河南省,女,本科,汉族,共青团员,19900503 ,2007,55,60,87
989,法学,黑龙江省,女,本科,朝鲜族,共青团员,19880712 ,2007,53,64,77
990,法学,湖北省,女,本科,回族,共青团员,19890622 ,2007,93,84,79
991,法学,湖南省,女,本科,汉族,共青团员,19881116 ,2007,77,86,66
992,法学,吉林省,女,本科,汉族,共青团员,19870624 ,2007,80,92,87
993,法学,江西省,女,本科,汉族,共青团员,19900118 ,2007,54,92,93
994,法学,内蒙古自治区,女,本科,汉族,共青团员,19880417 ,2007,84,81,69
995,法学,宁夏回族自治区,女,本科,回族,共青团员,19881024 ,2007,98,70,89
996,法学,山东省,女,本科,汉族,共青团员,19881220 ,2007,85,58,77
997,法学,陕西省,女,本科,汉族,共青团员,19890904 ,2007,78,62,82
998,法学,上海市,女,本科,汉族,共青团员,19880426 ,2007,73,86,80
999,法学,四川省,女,本科,汉族,共青团员,19890530 ,2007,55,55,76
1000,法学,西藏自治区,女,本科,藏族,共青团员,19901116 ,2007,78,74,89
1001,法学,新疆维吾尔自治区,女,本科,哈萨克族,共青团员,19851004 ,2007,59,89,82
1002,法学,云南省,女,本科,彝族,共青团员,19881016 ,2007,68,74,83
1003,法学,重庆市,女,本科,汉族,共青团员,19890907 ,2007,71,87,91
1004,法学,北京市,男,本科,汉族,群众,19880920 ,2007,90,86,66
1005,法学,福建省,男,本科,汉族,共青团员,19881223 ,2007,82,89,89
1006,法学,广东省,男,本科,汉族,共青团员,19890204 ,2007,71,82,95
1007,法学,海南省,男,本科,汉族,共青团员,19880620 ,2007,54,77,82
1008,法学,河南省,男,本科,汉族,中共预备党员,19880314 ,2007,62,87,88
1009,法学,湖北省,男,本科,汉族,共青团员,19890709 ,2007,81,77,92
1010,法学,吉林省,男,本科,汉族,共青团员,19880518 ,2007,80,90,91
1011,法学,江西省,男,本科,汉族,共青团员,19890809 ,2007,87,91,69
1012,法学,内蒙古自治区,男,本科,汉族,共青团员,19881117 ,2007,78,74,83
1013,法学,山东省,男,本科,汉族,共青团员,19861120 ,2007,56,74,72
1014,法学,山西省,男,本科,汉族,共青团员,19880727 ,2007,51,78,90
1015,法学,四川省,男,本科,汉族,共青团员,19890102 ,2007,57,81,74
1016,法学,新疆维吾尔自治区,男,本科,维吾尔族,共青团员,19860304 ,2007,87,74,83
1017,法学,浙江省,男,本科,汉族,共青团员,19890818 ,2007,57,60,85
1018,法学,安徽省,女,本科,汉族,共青团员,19890322 ,2007,85,90,94
1019,法学,北京市,女,本科,汉族,共青团员,19881223 ,2007,98,85,83
1020,法学,北京市,女,本科,汉族,共青团员,19890612 ,2007,53,65,83
1021,法学,福建省,女,本科,汉族,共青团员,19881215 ,2007,83,86,89
1022,法学,广东省,女,本科,汉族,共青团员,19890828 ,2007,78,84,88
1023,法学,广西壮族自治区,女,本科,壮族,共青团员,19861222 ,2007,65,93,76
1024,法学,贵州省,女,本科,苗族,共青团员,19890519 ,2007,60,57,82
1025,法学,河北省,女,本科,汉族,中共预备党员,19871223 ,2007,82,76,73
1026,法学,河南省,女,本科,汉族,共青团员,19871105 ,2007,79,68,89
1027,法学,黑龙江省,女,本科,汉族,共青团员,19870421 ,2007,51,74,88
1028,法学,湖北省,女,本科,汉族,共青团员,19900126 ,2007,57,56,68
1029,法学,湖南省,女,本科,汉族,共青团员,19881025 ,2007,55,80,89
1030,法学,吉林省,女,本科,满族,共青团员,19900126 ,2007,75,83,76
1031,法学,江苏省,女,本科,汉族,共青团员,19890117 ,2007,79,73,71
1032,法学,辽宁省,女,本科,汉族,共青团员,19880925 ,2007,76,76,80
1033,法学,内蒙古自治区,女,本科,汉族,共青团员,19881023 ,2007,62,90,68
1034,法学,青海省,女,本科,藏族,共青团员,19880429 ,2007,83,56,91
1035,法学,山东省,女,本科,汉族,共青团员,19890320 ,2007,79,79,65
1036,法学,陕西省,女,本科,汉族,共青团员,19890410 ,2007,53,72,85
1037,法学,四川省,女,本科,汉族,共青团员,19890730 ,2007,80,68,89
1038,法学,四川省,女,本科,汉族,中共预备党员,19880814 ,2007,72,59,70
1039,法学,西藏自治区,女,本科,汉族,共青团员,19890506 ,2007,77,78,76
1040,法学,新疆维吾尔自治区,女,本科,汉族,共青团员,19880711 ,2007,53,86,78
1041,法学,浙江省,女,本科,汉族,共青团员,19880531 ,2007,95,72,70
1042,法学,北京市,男,本科,汉族,共青团员,19890331 ,2007,76,68,82
1043,法学,福建省,男,本科,汉族,共青团员,19880305 ,2007,77,61,87
1044,法学,广东省,男,本科,汉族,共青团员,19881102 ,2007,92,95,74
1045,法学,河北省,男,本科,汉族,共青团员,19881214 ,2007,83,56,66
1046,法学,河南省,男,本科,汉族,共青团员,19901116 ,2007,93,79,66
1047,法学,湖南省,男,本科,汉族,群众,19890705 ,2007,80,83,75
1048,法学,江苏省,男,本科,汉族,共青团员,19890718 ,2007,90,60,84
1049,法学,江西省,男,本科,汉族,共青团员,19920325 ,2007,56,88,77
1050,法学,内蒙古自治区,男,本科,汉族,共青团员,19860602 ,2007,71,73,68
1051,法学,山东省,男,本科,汉族,共青团员,19890421 ,2007,84,93,92
1052,法学,山西省,男,本科,汉族,共青团员,19880830 ,2007,74,86,90
1053,法学,四川省,男,本科,汉族,共青团员,19870922 ,2007,57,57,91
1054,法学,新疆维吾尔自治区,男,本科,维吾尔族,共青团员,19870701 ,2007,57,85,79
1055,法学,浙江省,男,本科,汉族,共青团员,19890316 ,2007,68,60,75
1056,法学,安徽省,女,本科,汉族,共青团员,19910110 ,2007,96,85,72
1057,法学,北京市,女,本科,汉族,共青团员,19881125 ,2007,59,77,83
1058,法学,北京市,女,本科,汉族,共青团员,19881201 ,2007,97,80,79
1059,法学,甘肃省,女,本科,汉族,共青团员,19881218 ,2007,83,81,68
1060,法学,广东省,女,本科,汉族,共青团员,19890124 ,2007,73,77,90
1061,法学,广西壮族自治区,女,本科,汉族,共青团员,19870210 ,2007,67,91,76
1062,法学,贵州省,女,本科,彝族,共青团员,19890625 ,2007,93,81,77
1063,法学,河北省,女,本科,汉族,共青团员,19870426 ,2007,77,68,80
1064,法学,河南省,女,本科,汉族,共青团员,19880913 ,2007,88,91,83
1065,法学,黑龙江省,女,本科,汉族,共青团员,19881128 ,2007,94,91,80
1066,法学,湖南省,女,本科,汉族,共青团员,19901009 ,2007,95,88,69
1067,法学,湖南省,女,本科,汉族,共青团员,19880917 ,2007,65,75,94
1068,法学,江苏省,女,本科,汉族,共青团员,19880808 ,2007,84,74,92
1069,法学,江苏省,女,本科,汉族,共青团员,19890927 ,2007,87,89,66
1070,法学,辽宁省,女,本科,汉族,共青团员,19890129 ,2007,89,59,72
1071,法学,宁夏回族自治区,女,本科,回族,共青团员,19871226 ,2007,84,62,71
1072,法学,青海省,女,本科,回族,共青团员,19890531 ,2007,82,75,94
1073,法学,山东省,女,本科,汉族,共青团员,19871118 ,2007,62,90,90
1074,法学,陕西省,女,本科,汉族,共青团员,19890513 ,2007,60,64,78
1075,法学,四川省,女,本科,汉族,共青团员,19890802 ,2007,91,79,79
1076,法学,天津市,女,本科,汉族,共青团员,19891116 ,2007,94,93,70
1077,法学,新疆维吾尔自治区,女,本科,柯尔克孜族,群众,19881006 ,2007,89,62,86
1078,法学,云南省,女,本科,汉族,共青团员,19881202 ,2007,97,88,77
1079,法学,浙江省,女,本科,汉族,中共预备党员,19880328 ,2007,95,80,94
1080,法学,北京市,男,本科,汉族,共青团员,19880922 ,2007,73,67,79
1081,法学,青海省,女,本科,土族,共青团员,19841212 ,2007,80,91,75
1082,法学,安徽省,男,本科,汉族,共青团员,19881116 ,2008,93,69,91
1083,法学,北京市,男,本科,汉族,共青团员,19891007 ,2008,64,56,90
1084,法学,福建省,男,本科,汉族,共青团员,19890711 ,2008,71,60,69
1085,法学,新疆维吾尔自治区,男,本科,维吾尔族,共青团员,19870107 ,2008,91,86,68
1086,法学,广西壮族自治区,男,本科,,共青团员,19860802 ,2008,76,64,69
1087,法学,河北省,男,本科,汉族,共青团员,19891017 ,2008,79,65,76
1088,法学,四川省,男,本科,羌族,共青团员,19880914 ,2008,88,59,70
1089,法学,黑龙江省,男,本科,汉族,共青团员,19900911 ,2008,78,76,83
1090,法学,湖北省,男,本科,土家族,共青团员,19880818 ,2008,96,95,84
1091,法学,吉林省,男,本科,汉族,共青团员,19901116 ,2008,52,79,72
1092,法学,江苏省,男,本科,汉族,共青团员,19910423 ,2008,94,85,80
1093,法学,新疆维吾尔自治区,男,本科,维吾尔族,共青团员,19851008 ,2008,70,64,79
1094,法学,青海省,男,本科,汉族,共青团员,19890308 ,2008,90,82,92
1095,法学,山东省,男,本科,汉族,共青团员,19890928 ,2008,57,91,66
1096,法学,陕西省,男,本科,汉族,共青团员,19901124 ,2008,60,74,65
1097,法学,四川省,男,本科,汉族,共青团员,19870416 ,2008,97,83,70
1098,法学,河南省,男,本科,汉族,共青团员,19900616 ,2008,62,70,76
1099,法学,新疆维吾尔自治区,男,本科,汉族,共青团员,19900620 ,2008,71,84,73
1100,法学,云南省,男,本科,汉族,共青团员,19900618 ,2008,73,77,90
1101,法学,重庆市,男,本科,汉族,共青团员,19900803 ,2008,81,73,72
1102,法学,辽宁省,男,本科,汉族,共青团员,19901029 ,2008,60,62,74
1103,法学,安徽省,女,本科,汉族,共青团员,19910210 ,2008,80,89,71
1104,法学,北京市,女,本科,汉族,共青团员,19891107 ,2008,83,76,81
1105,法学,西藏自治区,女,本科,汉族,共青团员,19901019 ,2008,77,59,66
1106,法学,辽宁省,女,本科,汉族,共青团员,19900924 ,2008,85,58,81
1107,法学,福建省,女,本科,汉族,共青团员,19880914 ,2008,55,68,77
1108,法学,甘肃省,女,本科,汉族,共青团员,19890624 ,2008,81,82,88
1109,法学,广东省,女,本科,汉族,共青团员,19890601 ,2008,88,92,75
1110,法学,广西壮族自治区,女,本科,,共青团员,19901218 ,2008,88,73,84
1111,法学,贵州省,女,本科,汉族,共青团员,19901016 ,2008,94,74,81
1112,法学,西藏自治区,女,本科,汉族,共青团员,19891116 ,2008,84,56,71
1113,法学,河南省,女,本科,汉族,共青团员,19890615 ,2008,54,86,88
1114,法学,湖北省,女,本科,回族,共青团员,19881208 ,2008,55,79,74
1115,法学,北京市,女,本科,汉族,共青团员,19900511 ,2008,51,70,92
1116,法学,湖南省,女,本科,汉族,共青团员,19891118 ,2008,61,81,92
1117,法学,西藏自治区,女,本科,藏族,共青团员,19890705 ,2008,65,57,91
1118,法学,江苏省,女,本科,汉族,共青团员,19900414 ,2008,86,56,76
1119,法学,北京市,女,本科,汉族,共青团员,19900304 ,2008,79,74,73
1120,法学,辽宁省,女,本科,汉族,共青团员,19890905 ,2008,56,94,90
1121,法学,内蒙古自治区,女,本科,蒙古族,共青团员,19891021 ,2008,84,73,72
1122,法学,青海省,女,本科,汉族,共青团员,19891213 ,2008,74,84,94
1123,法学,山东省,女,本科,汉族,共青团员,19881019 ,2008,56,79,68
1124,法学,山西省,女,本科,汉族,共青团员,19890620 ,2008,77,64,67
1125,法学,陕西省,女,本科,汉族,共青团员,19890311 ,2008,81,88,84
1126,法学,四川省,女,本科,汉族,中共预备党员,19910317 ,2008,77,71,79
1127,法学,天津市,女,本科,汉族,共青团员,19890202 ,2008,76,78,93
1128,法学,新疆维吾尔自治区,女,本科,维吾尔族,共青团员,19890805 ,2008,84,69,83
1129,法学,云南省,女,本科,汉族,共青团员,19891111 ,2008,84,85,76
1130,法学,浙江省,女,本科,汉族,共青团员,19900426 ,2008,59,86,79
1131,法学,重庆市,女,本科,汉族,共青团员,19900602 ,2008,64,65,71
1132,法学,河南省,女,本科,汉族,共青团员,19890122 ,2008,80,91,91
1133,法学,安徽省,男,本科,汉族,共青团员,19901111 ,2008,87,85,72
1134,法学,北京市,男,本科,汉族,共青团员,19900315 ,2008,98,60,71
1135,法学,福建省,男,本科,汉族,共青团员,19890312 ,2008,51,89,67
1136,法学,广东省,男,本科,汉族,共青团员,19890531 ,2008,98,75,91
1137,法学,贵州省,男,本科,汉族,共青团员,19900202 ,2008,81,89,78
1138,法学,河北省,男,本科,汉族,共青团员,19890811 ,2008,94,78,82
1139,法学,山东省,男,本科,汉族,共青团员,19910110 ,2008,80,87,73
1140,法学,黑龙江省,男,本科,汉族,共青团员,19890416 ,2008,55,86,81
1141,法学,湖南省,男,本科,汉族,中共党员,19880202 ,2008,95,72,80
1142,法学,吉林省,男,本科,汉族,共青团员,19880519 ,2008,83,56,82
1143,法学,江西省,男,本科,汉族,共青团员,19900918 ,2008,54,76,68
1144,法学,辽宁省,男,本科,汉族,共青团员,19891116 ,2008,71,71,85
1145,法学,山东省,男,本科,汉族,共青团员,19900502 ,2008,75,73,70
1146,法学,河南省,男,本科,汉族,共青团员,19900302 ,2008,70,63,72
1147,法学,陕西省,男,本科,汉族,共青团员,19890624 ,2008,90,64,92
1148,法学,四川省,男,本科,苗族,共青团员,19910106 ,2008,63,56,73
1149,法学,天津市,男,本科,汉族,共青团员,19900129 ,2008,78,92,77
1150,法学,新疆维吾尔自治区,男,本科,汉族,共青团员,19890427 ,2008,98,70,87
1151,法学,云南省,男,本科,其他,共青团员,19900116 ,2008,94,71,84
1152,法学,重庆市,男,本科,汉族,共青团员,19890821 ,2008,53,88,68
1153,法学,安徽省,女,本科,汉族,共青团员,19900214 ,2008,55,94,83
1154,法学,北京市,女,本科,汉族,共青团员,19891029 ,2008,67,83,69
1155,法学,广东省,女,本科,汉族,共青团员,19900114 ,2008,80,86,83
1156,法学,河北省,女,本科,汉族,共青团员,19871024 ,2008,89,56,79
1157,法学,江苏省,女,本科,汉族,共青团员,19900312 ,2008,81,63,67
1158,法学,福建省,女,本科,汉族,共青团员,19900723 ,2008,53,78,84
1159,法学,广东省,女,本科,汉族,共青团员,19891020 ,2008,91,65,81
1160,法学,西藏自治区,女,本科,藏族,共青团员,19890202 ,2008,75,65,94
1161,法学,广西壮族自治区,女,本科,,共青团员,19900225 ,2008,65,88,90
1162,法学,新疆维吾尔自治区,女,本科,维吾尔族,共青团员,19880102 ,2008,61,61,90
1163,法学,辽宁省,女,本科,汉族,共青团员,19900204 ,2008,87,88,91
1164,法学,河南省,女,本科,汉族,共青团员,19910109 ,2008,77,93,66
1165,法学,黑龙江省,女,本科,汉族,共青团员,19890730 ,2008,96,77,79
1166,法学,湖北省,女,本科,土家族,共青团员,19890807 ,2008,53,93,91
1167,法学,湖南省,女,本科,汉族,共青团员,19890823 ,2008,74,59,66
1168,法学,吉林省,女,本科,汉族,共青团员,19880922 ,2008,80,56,93
1169,法学,江苏省,女,本科,汉族,共青团员,19900905 ,2008,97,85,80
1170,法学,四川省,女,本科,汉族,共青团员,19890820 ,2008,83,66,76
1171,法学,北京市,女,本科,汉族,共青团员,19891012 ,2008,94,93,92
1172,法学,辽宁省,女,本科,汉族,共青团员,19900228 ,2008,89,79,94
1173,法学,西藏自治区,女,本科,藏族,共青团员,19880717 ,2008,57,85,80
1174,法学,青海省,女,本科,藏族,共青团员,19900622 ,2008,89,66,95
1175,法学,山东省,女,本科,汉族,共青团员,19890325 ,2008,59,80,72
1176,法学,新疆维吾尔自治区,女,本科,维吾尔族,共青团员,19881101 ,2008,87,66,74
1177,法学,陕西省,女,本科,汉族,共青团员,19900303 ,2008,86,82,86
1178,法学,北京市,女,本科,汉族,共青团员,19881027 ,2008,51,81,81
1179,法学,天津市,女,本科,汉族,共青团员,19900210 ,2008,60,81,81
1180,法学,新疆维吾尔自治区,女,本科,汉族,共青团员,19890911 ,2008,91,93,87
1181,法学,云南省,女,本科,傈僳族,共青团员,19890721 ,2008,96,87,65
1182,法学,浙江省,女,本科,汉族,共青团员,19900513 ,2008,54,58,79
1183,法学,重庆市,女,本科,汉族,共青团员,19881011 ,2008,71,57,93
1184,法学,安徽省,男,本科,汉族,共青团员,19890614 ,2008,94,62,80
1185,法学,新疆维吾尔自治区,男,本科,哈萨克族,共青团员,19850828 ,2008,58,86,68
1186,法学,甘肃省,男,本科,汉族,共青团员,19901225 ,2008,56,63,92
1187,法学,广东省,男,本科,汉族,共青团员,19881224 ,2008,68,86,92
1188,法学,贵州省,男,本科,汉族,共青团员,19890831 ,2008,83,58,89
1189,法学,河北省,男,本科,汉族,共青团员,19901021 ,2008,80,63,79
1190,法学,河南省,男,本科,汉族,共青团员,19900225 ,2008,78,80,88
1191,法学,黑龙江省,男,本科,汉族,共青团员,19890105 ,2008,93,87,78
1192,法学,湖南省,男,本科,汉族,共青团员,19900521 ,2008,78,78,72
1193,法学,江苏省,男,本科,汉族,共青团员,19900405 ,2008,73,67,85
1194,法学,江西省,男,本科,汉族,共青团员,19900628 ,2008,79,80,92
1195,法学,内蒙古自治区,男,本科,汉族,共青团员,19891217 ,2008,78,77,71
1196,法学,山东省,男,本科,汉族,预备党员,19900203 ,2008,94,63,69
1197,法学,山西省,男,本科,汉族,共青团员,19900804 ,2008,89,94,72
1198,法学,陕西省,男,本科,汉族,共青团员,19880321 ,2008,96,60,84
1199,法学,四川省,男,本科,汉族,共青团员,19900914 ,2008,97,64,67
1200,法学,天津市,男,本科,汉族,共青团员,19900521 ,2008,76,87,65
1201,法学,新疆维吾尔自治区,男,本科,维吾尔族,共青团员,19871016 ,2008,86,82,74
1202,法学,浙江省,男,本科,汉族,共青团员,19900707 ,2008,97,68,68
1203,法学,北京市,男,本科,汉族,共青团员,19890703 ,2008,51,64,85
1204,法学,安徽省,女,本科,汉族,共青团员,19900115 ,2008,70,89,95
1205,法学,北京市,女,本科,汉族,共青团员,19900112 ,2008,55,61,84
1206,法学,辽宁省,女,本科,汉族,共青团员,19900614 ,2008,92,73,69
1207,法学,广东省,女,本科,汉族,共青团员,19890723 ,2008,55,74,76
1208,法学,云南省,女,本科,汉族,共青团员,19900115 ,2008,51,82,86
1209,法学,甘肃省,女,本科,汉族,共青团员,19900226 ,2008,91,75,77
1210,法学,新疆维吾尔自治区,女,本科,哈萨克族,共青团员,19881203 ,2008,77,66,78
1211,法学,北京市,女,本科,汉族,共青团员,19901014 ,2008,80,69,69
1212,法学,广西壮族自治区,女,本科,,中共预备党员,19880719 ,2008,86,78,91
1213,法学,贵州省,女,本科,满族,共青团员,19890803 ,2008,55,73,65
1214,法学,河北省,女,本科,回族,共青团员,19880315 ,2008,96,60,94
1215,法学,河南省,女,本科,汉族,共青团员,19890705 ,2008,90,73,86
1216,法学,黑龙江省,女,本科,汉族,共青团员,19891230 ,2008,80,79,78
1217,法学,湖北省,女,本科,汉族,共青团员,19900612 ,2008,95,66,80
1218,法学,湖南省,女,本科,土家族,共青团员,19900930 ,2008,55,57,78
1219,法学,吉林省,女,本科,汉族,共青团员,19890226 ,2008,93,77,70
1220,法学,江苏省,女,本科,汉族,共青团员,19901014 ,2008,90,66,68
1221,法学,江西省,女,本科,汉族,共青团员,19911003 ,2008,70,74,83
1222,法学,北京市,女,本科,蒙古族,共青团员,19890430 ,2008,89,56,80
1223,法学,辽宁省,女,本科,汉族,共青团员,19891022 ,2008,59,61,84
1224,法学,宁夏回族自治区,女,本科,回族,共青团员,19890707 ,2008,56,73,72
1225,法学,青海省,女,本科,汉族,共青团员,19891211 ,2008,86,64,81
1226,法学,新疆维吾尔自治区,女,本科,哈萨克族,共青团员,19871214 ,2008,74,92,72
1227,法学,山西省,女,本科,汉族,共青团员,19920425 ,2008,76,91,81
1228,法学,上海市,女,本科,汉族,共青团员,19910126 ,2008,75,59,77
1229,法学,四川省,女,本科,汉族,共青团员,19890127 ,2008,81,87,87
1230,法学,天津市,女,本科,汉族,共青团员,19890321 ,2008,95,79,76
1231,法学,新疆维吾尔自治区,女,本科,维吾尔族,共青团员,19880912 ,2008,62,70,80
1232,法学,北京市,女,本科,汉族,共青团员,19891105 ,2008,62,67,80
1233,法学,浙江省,女,本科,汉族,共青团员,19890418 ,2008,91,86,75
1234,法学,重庆市,女,本科,苗族,中共预备党员,19900126 ,2008,66,74,88
1235,法学,天津市,男,本科,汉族,群众,19870424 ,2008,65,93,93
1236,法学,安徽省,男,本科,汉族,共青团员,19900712 ,2008,93,93,66
1237,法学,福建省,男,本科,汉族,共青团员,19891124 ,2008,84,86,80
1238,法学,甘肃省,男,本科,汉族,共青团员,19901221 ,2008,57,63,85
1239,法学,广东省,男,本科,汉族,中共党员,19890125 ,2008,50,61,89
1240,法学,贵州省,男,本科,彝族,群众,19910101 ,2008,71,81,93
1241,法学,河北省,男,本科,汉族,共青团员,19901105 ,2008,88,58,87
1242,法学,河南省,男,本科,汉族,共青团员,19881215 ,2008,73,67,70
1243,法学,新疆维吾尔自治区,男,本科,哈萨克族,共青团员,19860203 ,2008,79,88,91
1244,法学,湖南省,男,本科,汉族,共青团员,19900511 ,2008,86,70,70
1245,法学,江苏省,男,本科,汉族,共青团员,19900406 ,2008,84,74,92
1246,法学,江西省,男,本科,汉族,共青团员,19900907 ,2008,65,82,93
1247,法学,内蒙古自治区,男,本科,汉族,共青团员,19910912 ,2008,53,67,92
1248,法学,山东省,男,本科,汉族,共青团员,19900910 ,2008,83,92,82
1249,法学,山西省,男,本科,汉族,共青团员,19891023 ,2008,86,90,74
1250,法学,陕西省,男,本科,汉族,共青团员,19890828 ,2008,81,69,71
1251,法学,四川省,男,本科,汉族,共青团员,19890930 ,2008,59,62,83
1252,法学,新疆维吾尔自治区,男,本科,维吾尔族,共青团员,19860625 ,2008,72,90,86
1253,法学,浙江省,男,本科,汉族,共青团员,19891004 ,2008,70,79,74
1254,法学,河北省,男,本科,汉族,共青团员,19900923 ,2008,84,75,86
1255,法学,安徽省,女,本科,汉族,共青团员,19900305 ,2008,63,59,79
1256,法学,北京市,女,本科,汉族,共青团员,19880423 ,2008,73,73,79
1257,法学,广西壮族自治区,女,本科,,共青团员,19891025 ,2008,96,79,77
1258,法学,辽宁省,女,本科,满族,共青团员,19890724 ,2008,66,81,74
1259,法学,福建省,女,本科,汉族,共青团员,19890210 ,2008,60,76,78
1260,法学,甘肃省,女,本科,汉族,共青团员,19890511 ,2008,88,76,77
1261,法学,广东省,女,本科,汉族,共青团员,19910119 ,2008,55,81,79
1262,法学,西藏自治区,女,本科,藏族,共青团员,19870604 ,2008,94,88,94
1263,法学,北京市,女,本科,汉族,共青团员,19900511 ,2008,87,87,94
1264,法学,海南省,女,本科,汉族,共青团员,19890522 ,2008,92,86,83
1265,法学,河北省,女,本科,汉族,共青团员,19901227 ,2008,51,90,75
1266,法学,河南省,女,本科,汉族,共青团员,19890320 ,2008,90,95,71
1267,法学,黑龙江省,女,本科,汉族,共青团员,19890819 ,2008,96,70,76
1268,法学,湖北省,女,本科,土家族,共青团员,19890706 ,2008,59,72,79
1269,法学,湖南省,女,本科,土家族,共青团员,19900327 ,2008,77,93,87
1270,法学,四川省,女,本科,彝族,共青团员,19910527 ,2008,61,89,86
1271,法学,山东省,女,本科,汉族,共青团员,19901211 ,2008,59,62,71
1272,法学,江西省,女,本科,汉族,共青团员,19900426 ,2008,83,66,91
1273,法学,北京市,女,本科,汉族,共青团员,19891122 ,2008,59,57,76
1274,法学,辽宁省,女,本科,汉族,共青团员,19891224 ,2008,58,77,92
1275,法学,宁夏回族自治区,女,本科,回族,共青团员,19880904 ,2008,92,88,78
1276,法学,江苏省,女,本科,汉族,共青团员,19901001 ,2008,61,65,77
1277,法学,山东省,女,本科,汉族,共青团员,19900930 ,2008,95,81,85
1278,法学,山西省,女,本科,汉族,共青团员,19900831 ,2008,80,93,79
1279,法学,四川省,女,本科,汉族,共青团员,19900602 ,2008,64,63,94
1280,法学,吉林省,女,本科,汉族,共青团员,19910616 ,2008,74,61,74
1281,法学,西藏自治区,女,本科,藏族,共青团员,19901017 ,2008,82,83,68
1282,法学,新疆维吾尔自治区,女,本科,维吾尔族,共青团员,19880715 ,2008,54,62,92
1283,法学,浙江省,女,本科,汉族,共青团员,19891014 ,2008,72,72,68
1284,法学,浙江省,女,本科,汉族,共青团员,19891229 ,2008,51,68,81
1285,法学,重庆市,女,本科,汉族,共青团员,19900822 ,2008,97,67,73
